="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="general_health",="mental_health",="physical_health",="anx_severity",="dep_severity",="inflammation",="multi_morbidity",="waist_to_hip_ratio",="bmi",="height"
="Network Size (All)=15",="0.568",="-0.453",="0.612",="-8.833",="-12.05",="0.00219",="0.293",="-0.0543",="9.666+",="-0.321"
="",="(0.526)",="(0.396)",="(0.570)",="(9.505)",="(10.27)",="(0.00710)",="(0.410)",="(0.0385)",="(5.348)",="(3.954)"
="Network Size (All)=16",="0.365",="-0.212",="0.592",="-3.762",="2.082",="-0.00207",="1.143",="0.0135",="1.370",="-3.299"
="",="(0.452)",="(0.424)",="(0.549)",="(10.79)",="(9.803)",="(0.00451)",="(0.835)",="(0.0341)",="(2.609)",="(4.478)"
="Network Size (All)=18",="-0.325",="-0.889",="0.195",="-16.27",="-14.06",="-0.00117",="1.033**",="-0.0159",="2.142",="-3.109"
="",="(0.571)",="(0.695)",="(0.490)",="(11.98)",="(14.81)",="(0.00386)",="(0.355)",="(0.0742)",="(2.642)",="(4.733)"
="Network Size (All)=19",="-1.265**",="-1.099**",="-1.075**",="-20.26*",="-29.93**",="0.00531",="0.483+",="-0.114**",="1.029",="-3.202"
="",="(0.385)",="(0.352)",="(0.374)",="(7.975)",="(9.044)",="(0.00355)",="(0.279)",="(0.0400)",="(2.578)",="(3.831)"
="Network Size (All)=20",="-0.369",="-0.524",="0.732+",="-10.98",="-11.76",="-0.00914*",="1.731*",="-0.0548",="3.476",="1.062"
="",="(0.377)",="(0.356)",="(0.375)",="(8.579)",="(9.734)",="(0.00436)",="(0.783)",="(0.0449)",="(3.227)",="(4.134)"
="Network Size (All)=22",="-0.784+",="-1.631**",="-0.926*",="-10.83",="-9.394",="0.00492",="0.785*",="-0.00610",="12.21**",="-8.546*"
="",="(0.394)",="(0.374)",="(0.400)",="(9.093)",="(9.345)",="(0.00334)",="(0.311)",="(0.0364)",="(2.500)",="(3.985)"
="Network Size (All)=24",="-0.467",="-1.242**",="-0.385",="7.478",="10.72",="-0.0192**",="",="-0.0784*",="7.430**",="6.204"
="",="(0.390)",="(0.349)",="(0.358)",="(8.039)",="(9.307)",="(0.00357)",="",="(0.0356)",="(2.526)",="(4.067)"
="Network Size (All)=25",="-0.296",="-1.872**",="-0.151",="-31.50**",="-40.18**",="-0.0173**",="-2.303**",="-0.177**",="-9.562**",="1.240"
="",="(0.389)",="(0.434)",="(0.424)",="(10.32)",="(11.55)",="(0.00428)",="(0.408)",="(0.0348)",="(2.850)",="(4.005)"
="Number of Hasslers",="0.139**",="0.234**",="0.133**",="4.691**",="5.532**",="0.00113**",="0.130**",="0.0115**",="1.242**",="-0.365"
="",="(0.0338)",="(0.0349)",="(0.0340)",="(0.761)",="(0.848)",="(0.000315)",="(0.0480)",="(0.00314)",="(0.269)",="(0.282)"
="Constant",="3.019**",="3.396**",="2.807**",="37.78**",="45.71**",="0.155**",="0.0837",="0.909**",="25.51**",="186.2**"
="",="(0.362)",="(0.302)",="(0.403)",="(7.286)",="(8.549)",="(0.00363)",="(0.358)",="(0.0307)",="(2.515)",="(3.916)"
="Observations",="2343",="2342",="2343",="2288",="2288",="2345",="2158",="1911",="1967",="1983"
="Standard errors in parentheses"
="+ p<0.1, * p<0.05, ** p<0.01"
